id,category,name,desc,alias,waste,kcal,kcal_adj,water,protein,fat,satfat,carb,fiber,sugar,sodium,vitA,vitC,potassium,calcium,magnesium,iron,zinc
E3201501,蔬菜類,塔菇菜(有機),樣品狀態:生; 前處理描述:混合均勻打碎,塌棵菜；塔菜；瓢兒芥,15.0,14.0011,10.8593,94.66,1.864,0.0,0.0,2.3378,1.6536,0.1,58.61,0.6482,0.133,381.74,102.9,32.76,1.05,0.68
E3201601,蔬菜類,廣島野菜,"樣品狀態:生; 前處理描述:去根部,混合均勻打碎",廣島菜,8.9,15.828,12.9583,94.33,1.71,0.0,0.0,2.9097,1.5104,0.343,18.56,0.1875,0.14,161.52,226.02,58.99,0.66,0.0
E3201701,蔬菜類,日本油菜(有機),"樣品狀態:生,冷藏袋裝; 前處理描述:去根部,混合均勻打碎","鶯菜,小松菜",7.6,20.437,16.3951,93.61,1.505,0.427,0.168,3.3128,2.1273,0.755,55.44,0.2002,0.14,251.13,93.49,26.66,1.38,0.19
E33001,蔬菜類,結球白菜平均值,"樣品狀態:生,結球白菜; 前處理描述:混合均勻打碎","大白菜,黃芽菜,包心白菜,卷心白菜,山東白菜,結球白菜",12.7,16.7791,14.9859,95.0944,1.1926,0.2916,0.1235,2.8753,0.9438,1.8695,23.8718,,0.0918,167.1282,40.0423,9.9125,0.3686,0.2483
E3300101,蔬菜類,煙台白菜,"樣品狀態:生,結球白菜,長卵圓形; 前處理描述:混合均勻打碎","大白菜,黃芽菜,包心白菜,卷心白菜,山東白菜,結球白菜(包頭蓮)",,14.2885,12.0771,95.76,1.296,0.255,,2.2458,1.1639,,29.82,,0.072,118.925,33.815,8.23,0.2925,0.2705
E3300102,蔬菜類,迷你竹筍白菜,"樣品狀態:生,結球白菜,長卵圓形; 前處理描述:混合均勻打碎","大白菜,黃芽菜,包心白菜,卷心白菜,山東白菜,結球白菜",22.6,18.9427,18.1848,94.201,1.256,0.0891,0.0386,3.8221,0.3989,2.283,4.222,,0.133,219.671,33.759,8.94,0.209,0.148
E3300103,蔬菜類,翠玉白菜,"樣品狀態:生,結球白菜,圓筒形; 前處理描述:混合均勻打碎","天津白菜,直筒白菜,長筒白菜,竹筒白菜",,19.4448,17.1916,94.91,1.0345,0.68,,2.8315,1.1859,,47.795,,0.0533,158.44,41.835,11.86,0.486,0.2365
E3300104,蔬菜類,包心白菜,"樣品狀態:生,結球白菜,橢圓形; 前處理描述:混合均勻打碎","大白菜,黃芽菜,包心白菜,卷心白菜,山東白菜,結球白菜",7.7,14.4402,12.4902,95.5067,1.1837,0.1424,0.059,2.6018,1.0263,1.456,13.65,,0.109,171.4767,50.76,10.62,0.487,0.338
E3300201,蔬菜類,白菜芽,"樣品狀態:生,高冷蔬菜; 前處理描述:混合均勻打碎",娃娃菜,7.0,21.1881,17.0132,92.9205,3.0945,0.0696,0.0354,3.2046,2.1973,1.1621,21.86,,0.161,299.6855,50.9865,19.05,0.47,0.521
E3400101,蔬菜類,白鳳菜,"樣品狀態:生; 前處理描述:去粗莖,混合均勻打碎",白蓊菜,,27.308,21.038,91.5,2.0,0.4,,4.8,3.3,,28.0,,0.0259,380.0,82.0,41.0,1.32,0.38
E3400201,蔬菜類,紅鳳菜,"樣品狀態:生; 前處理描述:去粗莖,混合均勻打碎","紅蓊菜,紅菜,紅葉,紫背天葵,雙色三七草,天青地紅,地黃菜,腳目草",46.6,22.4936,17.5698,92.6835,2.115,0.3801,,3.531,2.5915,,13.2643,,0.0495,312.2467,121.7879,47.5531,5.9693,0.4849
E3500101,蔬菜類,豆瓣菜,樣品狀態:生; 前處理描述:混合均勻打碎,"西洋菜,水芥(田/應/蕹)菜,無心芥(菜),廣東芥菜,微子蔊菜,風花菜,水生山葵菜,麥藍菜,角菜",,20.5147,16.7907,93.06,2.17,0.29,,3.18,1.96,,45.0,,0.0527,340.0,98.0,20.0,2.28,0.57
E3600101,蔬菜類,明日葉,樣品狀態:生; 前處理描述:混合均勻打碎,"鹹草,明日草,長壽草,八丈草,還陽草,珍立草,海峰人參,天賜草",,56.7617,45.117,84.465,1.434,0.7918,0.2679,11.8916,6.1288,3.07,4.066,,0.109,583.153,242.245,21.603,1.518,0.451
E3700101,蔬菜類,山芹菜,樣品狀態:生; 前處理描述:混合均勻打碎,"鴨兒芹,三葉芹,三葉山芹菜",0.0,27.9017,21.3909,90.71,2.126,0.25,0.1006,5.1895,3.4267,0.486,1.82,0.4752,0.11,658.084,131.3458,36.765,5.24,0.0
